student_id,name,registration_date,gender,branch,city,cgpa,attendance_percent,technical_skills,projects_completed,coding_problems_solved,communication_skill,internship,has_backlog,tech_events_attended,salary_expectation,placed
STU1294,Student_295,09-08-2025,Female,eee,Gorakhpur,6.25,94.3,8,3,305,4,No,Yes,0,818260,No
STU1514,Student_515,17-09-2025,Female,Electrical,Kanpur,7.92,74.4,3,2,85,3,Yes,Yes,1,328538,Yes
STU1141,Student_142,26-10-2025,Male,cse,Delhi,9.77,73.8,4,3,399,3,No,No,5,571510,No
STU1379,Student_380,11-03-2025,Female,I.T ,Kanpur,6.78,96.4,2,1,76,4,No,No,6,494484,No
STU1549,Student_550,06-11-2025,Male,it,Gorakhpur,8.12,67.2,6,0,71,4,Yes,Yes,0,398206,Yes
STU1271,Student_272,26-08-2025,Female, Computer Science,Gorakhpur,6.96,63.4,4,2,109,2,No,Yes,1,932303,No
STU1343,Student_344,05-06-2025,Male,Civil ,Lucknow,7.2,78.6,1,6,35,4,No,Yes,3,412763,No
STU1510,Student_511,09-04-2025,Female,Electrical,Kanpur,7.46,68.1,4,4,560,,No,Yes,2,100000,No
STU1155,Student_156,15-08-2025,Female,civil,Patna,7.01,,3,6,127,3,Yes,Yes,2,697197,Yes
STU1594,Student_595,12-01-2025,Male,E.C.E,Lucknow,7.99,88.7,1,4,9,,No,No,6,141991,Yes
STU1446,Student_447,26-05-2025,Male,C.S.E,Prayagraj,7.08,63.8,2,2,83,1,No,No,2,480661,Yes
STU1499,Student_500,18-10-2025,Female,eee,Gorakhpur,7.41,92.7,5,1,235,3,No,Yes,1,888308,No
STU1546,Student_547,05-08-2025,Male,cse,Varanasi,6.84,,4,3,388,2,No,No,2,115923,Yes
STU1099,Student_100,20-07-2025,Male,Electrical,Prayagraj,6.81,86.5,2,3,361,1,No,Yes,3,536479,Yes
STU1209,Student_210,08-02-2025,Female,eee,Delhi,6.33,82.5,4,3,24,3,Yes,Yes,3,327300,Yes
STU1142,Student_143,16-02-2025,Male,Electrical,Delhi,6.44,79.5,2,4,17,2,No,Yes,2,780287,Yes
STU1386,Student_387,08-02-2025,Male,Information Technology,Varanasi,7.14,69.3,9,4,56,4,No,Yes,0,717609,Yes
STU1256,Student_257,24-03-2025,Male,cse,Prayagraj,9.24,100,5,0,101,3,Yes,No,1,193857,Yes
STU1583,Student_584,07-12-2025,Male,CSE,Delhi,7.55,89.5,2,4,59,3,Yes,Yes,5,432999,Yes
STU1213,Student_214,01-09-2025,Female,EEE,Kanpur,6.57,83.1,7,2,125,2,No,No,4,435496,No
STU1070,Student_71,21-09-2025,Female,CSE,Varanasi,7.69,91.6,4,5,370,2,Yes,No,3,1033537,Yes
STU1134,Student_135,05-06-2025,Female,Information Technology,Kanpur,7.82,93.7,0,3,321,2,Yes,No,2,821050,Yes
STU1284,Student_285,20-06-2025,Female,EEE,Prayagraj,6.21,68.4,7,1,16,3,No,No,0,275187,Yes
STU1060,Student_61,24-01-2025,Male, Computer Science,Kanpur,7.64,91.9,6,1,93,4,Yes,No,0,504628,No
STU1364,Student_365,25-04-2025,Male,E.C.E,Delhi,8.6,76.1,6,4,69,1,Yes,Yes,5,711530,Yes
STU1053,Student_54,21-05-2025,Female,Electronics,Kanpur,8.62,74.2,7,2,171,3,No,No,3,448812,Yes
STU1327,Student_328,04-06-2025,Male,IT,,6.14,84,3,2,390,3,No,Yes,,,No
STU1346,Student_347,21-08-2025,Male,Information Technology,Lucknow,8.75,70.8,7,3,147,2,Yes,No,0,,Yes
STU1556,Student_557,05-01-2025,Female,EEE,Kanpur,6.94,,4,3,99,1,Yes,No,5,982643,Yes
STU1405,Student_406,13-09-2025,Female,C.S.E,Delhi,6.14,81.5,2,0,25,3,No,No,0,1215543,Yes
STU1220,Student_221,01-08-2025,Male, Computer Science,Gorakhpur,10,65.9,6,3,43,2,Yes,Yes,2,926236,No
STU1200,Student_201,24-05-2025,Male,E.C.E,,8.37,73.8,4,4,28,2,Yes,Yes,1,917156,No
STU1336,Student_337,01-08-2025,Male,Information Technology,Gorakhpur,7.61,88.8,0,0,97,1,Yes,Yes,2,928546,Yes
STU1013,Student_14,12-02-2025,Male,Cse ,Gorakhpur,8.75,77.4,5,4,12,2,No,Yes,4,,Yes
STU1508,Student_509,10-09-2025,Male,Electrical,Gorakhpur,9.23,92.2,4,2,199,2,Yes,No,,849639,No
STU1003,Student_4,18-04-2025,Male,Electrical,Delhi,7.45,,6,3,20,1,No,Yes,1,1048482,No
STU1564,Student_565,27-12-2025,Male,I.T ,,8.04,100,8,4,33,4,Yes,No,3,516521,Yes
STU1447,Student_448,13-05-2025,Female,EEE,,6.76,65,4,0,78,4,Yes,No,3,230415,Yes
STU1052,Student_53,17-08-2025,Male,Electronics,Delhi,6.01,84.1,4,1,172,3,No,Yes,4,907751,Yes
STU1293,Student_294,18-06-2025,Male,C.S.E,Kanpur,6.69,93.2,3,6,413,,No,No,0,1028501,Yes
STU1244,Student_245,05-03-2025,Male,C.S.E,Delhi,7.22,76,6,2,27,1,No,Yes,2,746365,No
STU1050,Student_51,20-11-2025,Male,Information Technology,Prayagraj,7.9,86.9,6,5,60,3,Yes,No,,433142,Yes
STU1553,Student_554,17-01-2025,Female,CSE,Lucknow,7.65,75.8,6,2,131,3,No,Yes,3,542410,No
STU1407,Student_408,18-12-2025,Male,ece,Patna,7.15,98.9,4,1,213,3,No,Yes,1,517915,Yes
STU1423,Student_424,02-01-2025,Male,CIVIL,Patna,7.07,95.3,3,5,53,3,No,No,0,100000,No
STU1109,Student_110,17-10-2025,Male,Mechanical,Gorakhpur,8.6,59.2,6,2,45,3,Yes,Yes,6,957416,Yes
STU1242,Student_243,20-07-2025,Male,Mech ,Delhi,7.89,76.5,6,5,35,2,No,Yes,2,196181,Yes
STU1146,Student_147,21-06-2025,Female,I.T ,Delhi,8.07,,7,5,22,3,No,Yes,0,627803,Yes
STU1030,Student_31,12-04-2025,Male,Cse ,Lucknow,7.38,77.7,7,1,122,3,Yes,No,0,264784,Yes
STU1572,Student_573,17-04-2025,Male,ECE,Delhi,7.43,78.4,1,1,219,1,No,No,3,100000,Yes
STU1172,Student_173,07-07-2025,Male,civil,Delhi,7.72,92.9,6,0,125,3,Yes,Yes,5,573649,Yes
STU1589,Student_590,25-10-2025,Male,cse,Varanasi,5.56,250,6,3,112,3,No,No,3,100000,Yes
STU1022,Student_23,21-09-2025,Female,E.C.E,Delhi,7.9,63.4,3,0,88,2,Yes,Yes,3,100000,Yes
STU1359,Student_360,24-06-2025,Female,I.T ,Kanpur,8.46,74.8,1,2,56,4,Yes,No,1,351433,Yes
STU1187,Student_188,18-01-2025,Female,Cse ,Gorakhpur,5.59,,6,4,132,3,Yes,Yes,2,1152645,No
STU1418,Student_419,01-11-2025,Male,EEE,Lucknow,7.99,89.1,7,1,32,1,Yes,Yes,,503393,Yes
STU1051,Student_52,16-04-2025,Female,MECH,Gorakhpur,8.69,82.8,5,3,129,3,Yes,Yes,6,868263,Yes
STU1179,Student_180,23-11-2025,Female,EEE,Lucknow,7.74,88.3,5,3,100,1,No,No,2,547136,No
STU1319,Student_320,04-09-2025,Female,Electronics,Gorakhpur,7.21,40.7,9,4,23,3,No,No,,705063,No
STU1217,Student_218,04-03-2025,Female,I.T ,Prayagraj,6.24,82,4,3,32,4,Yes,Yes,2,506087,No
STU1563,Student_564,12-06-2025,Male,CSE,Patna,7.44,88.2,3,2,60,3,No,No,2,303902,Yes
STU1098,Student_99,09-03-2025,Male,CSE,Patna,9.08,82,6,4,48,3,Yes,No,0,698510,Yes
STU1425,Student_426,09-03-2025,Female,I.T ,Varanasi,8.09,90.9,6,5,104,5,Yes,No,1,496069,No
STU1433,Student_434,08-01-2025,Female,Mech ,Kanpur,"5,29",71.5,2,2,31,2,No,Yes,5,798643,No
STU1377,Student_378,25-11-2025,Male,Mech ,,5.63,75.9,6,4,325,1,No,Yes,3,673272,Yes
STU1442,Student_443,21-09-2025,Male,I.T ,Kanpur,6.51,78.8,0,0,105,4,No,No,2,931255,No
STU1277,Student_278,14-06-2025,Female,civil,Delhi,7.79,64.3,1,2,97,1,Yes,No,4,782116,No
STU1384,Student_385,22-10-2025,Female,ece,Lucknow,7.46,40,2,2,34,5,Yes,No,6,495770,Yes
STU1509,Student_510,16-01-2025,Female, Computer Science,Lucknow,7.56,57.8,2,3,6,2,Yes,Yes,1,888021,Yes
STU1430,Student_431,06-02-2025,Female,MECH,Kanpur,8.57,75.6,4,1,85,4,Yes,No,4,927861,No
STU1285,Student_286,04-11-2025,Female,cse,Delhi,6.94,47.5,4,1,110,3,Yes,No,5,385760,Yes
STU1097,Student_98,16-06-2025,Male,MECH,Gorakhpur,7.24,56.8,1,0,22,3,No,No,0,542771,Yes
STU1585,Student_586,22-04-2025,Female,Mech ,Delhi,6.44,69.8,8,3,192,4,Yes,No,2,448357,Yes
STU1308,Student_309,15-03-2025,Male,ece,Lucknow,8.13,87.4,9,3,169,2,Yes,No,0,331066,Yes
STU1193,Student_194,14-12-2025,Male,E.C.E,Delhi,5.88,78,6,2,177,1,Yes,No,5,1149286,Yes
STU1559,Student_560,07-12-2025,Male,Electronics,Delhi,6.68,89,5,5,24,1,Yes,No,6,100000,Yes
STU1055,Student_56,10-11-2025,Female,Mechanical,Patna,6.22,74,4,5,41,5,No,No,2,639317,Yes
STU1455,Student_456,22-12-2025,Male,ECE,Varanasi,7.06,,6,4,139,2,No,Yes,1,614992,Yes
STU1464,Student_465,24-07-2025,Male,ece,Gorakhpur,"6,72",76.9,3,1,240,2,No,No,3,640877,No
STU1422,Student_423,07-11-2025,Male,Electronics,Delhi,8.54,100,5,4,57,2,No,No,4,188467,No
STU1344,Student_345,03-11-2025,Female,Cse ,Varanasi,7.39,64.8,2,1,400,4,No,Yes,0,1217929,Yes
STU1236,Student_237,08-08-2025,Female,ECE,Varanasi,6.49,84.8,9,5,274,2,No,No,0,878056,Yes
STU1506,Student_507,12-11-2025,Male,cse,Kanpur,7.09,91,4,5,61,4,Yes,No,4,462629,Yes
STU1382,Student_383,05-06-2025,Male,CSE,Varanasi,7.41,62,0,1,76,1,Yes,No,2,499162,Yes
STU1411,Student_412,27-11-2025,Male,IT,Kanpur,5.37,81.4,4,0,129,2,No,No,5,764087,No
STU1355,Student_356,04-09-2025,Female,Cse ,Varanasi,7.78,81.6,6,3,41,4,Yes,Yes,4,694490,No
STU1333,Student_334,05-10-2025,Male,C.S.E,Lucknow,7.25,69.6,2,2,110,3,No,No,0,727405,No
STU1573,Student_574,16-12-2025,Female,cse,Varanasi,9,66.1,9,0,81,1,No,Yes,3,,Yes
STU1046,Student_47,12-03-2025,Male,CSE,Kanpur,6.19,65.6,4,5,7,2,No,No,,767564,Yes
STU1248,Student_249,17-06-2025,Male,eee,Delhi,8.2,85.6,4,5,64,3,Yes,No,3,1453588,No
STU1221,Student_222,27-12-2025,Male,Cse ,Delhi,5.43,88.9,4,3,8,3,No,Yes,2,,No
STU1504,Student_505,15-01-2025,Female,Mechanical,Varanasi,6.95,86.2,6,3,29,3,No,No,2,533881,Yes
STU1586,Student_587,12-01-2025,Female,E.C.E,,5.55,64.2,0,0,116,3,No,No,3,647491,Yes
STU1320,Student_321,22-08-2025,Male,it,Delhi,7.23,72.5,6,2,16,1,No,No,1,580259,No
STU1082,Student_83,18-04-2025,Male,Electronics,Kanpur,9.05,73.1,3,5,216,1,Yes,No,4,1055037,Yes
STU1272,Student_273,15-12-2025,Female,Electrical,Gorakhpur,7.18,87.1,2,0,78,5,Yes,No,0,765586,No
STU1023,Student_24,22-06-2025,Male,Electronics,Kanpur,6.55,82.4,6,0,35,3,No,Yes,2,670320,Yes
STU1557,Student_558,10-04-2025,Female,Civil ,Prayagraj,8.44,56.1,4,0,154,4,No,Yes,0,671506,Yes
STU1505,Student_506,20-04-2025,Female,Mechanical,Lucknow,"6,31",70.2,4,2,84,3,Yes,No,0,792391,Yes
STU1328,Student_329,08-07-2025,Male,Information Technology,Patna,"7,41",92.4,1,0,50,3,No,Yes,0,1119428,No
STU1446,Student_447,26-05-2025,Male,C.S.E,Prayagraj,7.08,63.8,2,2,83,1,No,No,2,480661,Yes
STU1038,Student_39,27-06-2025,Male,Civil ,Lucknow,8.67,,8,2,122,1,No,Yes,0,348760,No
STU1540,Student_541,01-09-2025,Male,Electronics,Prayagraj,6.98,83.5,4,5,8,2,Yes,No,4,804134,Yes
STU1010,Student_11,09-12-2025,Male,E.C.E,Patna,7.14,72,9,3,22,1,No,No,6,353583,No
STU1458,Student_459,17-07-2025,Male,ECE,Prayagraj,4.27,100,0,5,107,2,Yes,Yes,5,1271850,Yes
STU1032,Student_33,21-01-2025,Female,ECE,Delhi,7.01,86,3,3,141,4,No,No,3,507398,Yes
STU1337,Student_338,21-07-2025,Male,ECE,Patna,7.28,66.3,5,0,7,2,No,No,0,867272,No
STU1318,Student_319,05-11-2025,Female,C.S.E,Varanasi,6.83,67.8,6,2,246,1,No,No,1,968187,Yes
STU1025,Student_26,15-08-2025,Male,cse,Gorakhpur,8.96,58.8,3,3,65,1,Yes,No,3,757256,No
STU1261,Student_262,07-12-2025,Female,Cse ,Patna,5.99,87.5,6,3,59,1,Yes,No,0,826575,No
STU1538,Student_539,23-10-2025,Male,C.S.E,Gorakhpur,8.17,79.4,5,4,73,2,No,Yes,0,983092,Yes
STU1259,Student_260,19-02-2025,Male,I.T ,Delhi,5.86,85.5,1,0,7,1,Yes,Yes,3,143305,Yes
STU1305,Student_306,14-09-2025,Male,mech,Lucknow,6.81,74.5,7,3,176,3,No,Yes,1,854554,Yes
STU1154,Student_155,10-11-2025,Female,CSE,Kanpur,8.3,77.6,2,0,5,2,No,Yes,4,1043838,No
STU1252,Student_253,27-04-2025,Male,IT,Patna,6.16,99.4,8,6,0,2,No,No,1,816660,Yes
STU1089,Student_90,02-07-2025,Female,Civil ,Delhi,9.74,76.7,5,1,44,,Yes,Yes,6,739853,Yes
STU1065,Student_66,25-09-2025,Female,MECH,Prayagraj,7.9,85.3,1,3,45,2,No,Yes,6,994442,Yes
STU1358,Student_359,03-06-2025,Female,Information Technology,Varanasi,7.54,88.8,4,1,111,2,Yes,Yes,1,897742,Yes
STU1323,Student_324,09-01-2025,Female,IT,Gorakhpur,8.19,74.1,6,1,146,2,Yes,Yes,4,160232,No
STU1593,Student_594,08-02-2025,Female,cse,Kanpur,5.72,77.1,3,1,191,1,No,No,6,551976,No
STU1289,Student_290,09-01-2025,Female,IT,Kanpur,7.23,77,4,0,62,2,No,Yes,0,722138,No
STU1409,Student_410,25-09-2025,Female,C.S.E,Gorakhpur,6.97,,4,3,30,3,No,No,0,559057,No
STU1159,Student_160,11-08-2025,Female,E.C.E,Patna,6.25,49.5,0,3,49,2,No,No,0,167594,No
STU1576,Student_577,05-01-2025,Male,CSE,Kanpur,8.1,63.8,2,4,40,2,Yes,No,5,375380,No
STU1340,Student_341,03-05-2025,Female,Cse ,,8.97,68.2,7,2,0,3,Yes,Yes,2,603172,Yes
STU1357,Student_358,10-05-2025,Male,I.T ,Gorakhpur,7.14,79.7,3,2,45,5,No,No,6,434995,No
STU1040,Student_41,01-06-2025,Female,Cse ,Lucknow,5.35,60.9,6,0,136,3,Yes,Yes,,1035353,No
STU1426,Student_427,01-12-2025,Male,Information Technology,Varanasi,7.89,70.1,10,2,77,3,No,No,3,582733,No
STU1431,Student_432,01-01-2025,Male,eee,Varanasi,7.1,77.9,5,6,230,2,No,Yes,1,699508,Yes
STU1301,Student_302,15-11-2025,Male,IT,Varanasi,7.55,63.8,4,3,23,2,Yes,Yes,4,687039,Yes
STU1484,Student_485,12-06-2025,Female,CSE,Delhi,7.66,62.3,0,0,62,3,Yes,Yes,0,569635,Yes
STU1371,Student_372,15-11-2025,Female,Mech ,Delhi,6.35,76.5,6,5,12,3,No,No,0,786359,No
STU1450,Student_451,27-10-2025,Female,civil,Delhi,6.97,76.8,9,0,10,2,No,No,3,1135538,No
STU1056,Student_57,07-09-2025,Male,IT,Delhi,8.27,78.4,4,2,26,3,Yes,No,3,100000,No
STU1316,Student_317,19-07-2025,Male,Electronics,Patna,7.11,63.2,4,3,164,1,No,No,3,751580,Yes
STU1071,Student_72,07-05-2025,Female,civil,Varanasi,6.2,71,5,5,94,4,Yes,No,3,618574,No
STU1471,Student_472,26-09-2025,Male,CSE,Lucknow,8.47,79.7,0,7,161,3,Yes,No,4,755721,No
STU1415,Student_416,14-05-2025,Female,IT,Gorakhpur,8.33,89.9,3,1,219,3,Yes,No,2,401512,Yes
STU1090,Student_91,23-08-2025,Male,I.T ,Patna,6.78,73.4,7,0,16,3,No,Yes,4,145573,No
STU1166,Student_167,01-05-2025,Female,Information Technology,Patna,7.73,82.3,8,4,100,3,Yes,No,5,664861,No
STU1270,Student_271,24-07-2025,Male,eee,Lucknow,7.83,85.1,5,4,57,2,Yes,Yes,1,654429,Yes
STU1170,Student_171,24-10-2025,Female,Mechanical,Patna,7.25,66.7,8,6,61,3,No,Yes,7,791980,Yes
STU1054,Student_55,16-12-2025,Male,EEE,Prayagraj,7.5,64.1,2,2,13,1,Yes,Yes,4,100000,No
STU1566,Student_567,01-03-2025,Female,CSE,Varanasi,5.4,,5,7,42,2,Yes,No,4,625434,Yes
STU1429,Student_430,21-12-2025,Female,civil,Delhi,5.44,100,2,5,27,2,No,No,0,661481,Yes
STU1381,Student_382,26-12-2025,Male,Cse ,Patna,4,75.1,5,8,250,2,No,No,3,645690,Yes
STU1066,Student_67,01-04-2025,Female,ece,Prayagraj,7.34,73,7,2,27,,Yes,No,3,487547,Yes
STU1568,Student_569,14-04-2025,Female,Information Technology,Kanpur,5.96,77.6,5,2,74,2,Yes,No,1,415008,No
STU1455,Student_456,22-12-2025,Male,ECE,Varanasi,7.06,,6,4,139,2,No,Yes,1,614992,Yes
STU1204,Student_205,10-04-2025,Female,IT,Kanpur,7.48,88.3,6,7,6,3,No,Yes,0,597319,Yes
STU1451,Student_452,14-09-2025,Female,ECE,Kanpur,6.34,,8,4,86,3,No,Yes,0,779948,Yes
STU1291,Student_292,17-04-2025,Male,ece,Prayagraj,8.01,99.3,1,1,38,3,Yes,Yes,1,202685,No
STU1120,Student_121,27-03-2025,Male,C.S.E,Gorakhpur,7.19,74.9,5,2,214,,No,Yes,0,802138,Yes
STU1313,Student_314,23-12-2025,Male,I.T ,Kanpur,7.1,72.1,7,3,133,1,No,No,3,726655,Yes
STU1240,Student_241,01-06-2025,Male,it,Prayagraj,5.67,58.2,8,3,9,4,No,No,3,370351,Yes
STU1378,Student_379,22-08-2025,Male,EEE,Kanpur,7.55,,4,1,11,3,Yes,Yes,1,106259,Yes
STU1173,Student_174,19-10-2025,Female,MECH,Kanpur,8.11,70.8,1,0,14,2,Yes,No,2,879113,No
STU1466,Student_467,22-11-2025,Male,Information Technology,Kanpur,8.8,100,5,5,450,4,Yes,Yes,5,100000,Yes
STU1454,Student_455,10-11-2025,Female,MECH,Prayagraj,5.6,82.3,3,4,75,2,Yes,No,6,495454,No
STU1518,Student_519,08-04-2025,Male,Information Technology,Gorakhpur,7.78,79.6,5,1,403,1,Yes,Yes,3,166656,Yes
STU1417,Student_418,04-10-2025,Male,Cse ,Varanasi,5.75,77.6,2,1,47,2,No,No,5,344073,No
STU1118,Student_119,01-09-2025,Male,civil,Gorakhpur,7.96,81.6,8,5,141,4,Yes,No,3,509770,Yes
STU1119,Student_120,10-02-2025,Female,Civil ,Lucknow,6.71,73.1,4,3,123,3,No,No,2,611908,No
STU1596,Student_597,20-12-2025,Male,ECE,Lucknow,7.54,72.2,2,4,46,2,No,No,0,301954,Yes
STU1406,Student_407,03-07-2025,Male,Mech ,Patna,"5,99",86.5,2,0,61,4,Yes,Yes,1,444346,Yes
STU1214,Student_215,07-06-2025,Female,C.S.E,Varanasi,8.32,100,6,0,136,4,Yes,Yes,3,422406,Yes
STU1138,Student_139,03-06-2025,Female,Electrical,Delhi,8.32,70.4,6,2,157,3,No,Yes,4,861246,No
STU1145,Student_146,25-04-2025,Female,it,Varanasi,5.16,68.2,4,3,247,2,No,Yes,4,511695,No
STU1148,Student_149,13-03-2025,Male,Cse ,Gorakhpur,8.55,83.9,2,0,122,2,Yes,Yes,4,289025,No
STU1477,Student_478,27-05-2025,Female,C.S.E,Prayagraj,6.81,100,11,1,15,3,No,No,0,872718,Yes
STU1304,Student_305,13-01-2025,Female,ECE,Kanpur,7.33,83.4,0,3,9,2,No,Yes,3,913347,No
STU1162,Student_163,13-11-2025,Female,mech,Gorakhpur,10,87.8,4,2,335,2,No,No,0,476839,Yes
STU1493,Student_494,25-11-2025,Female,Mechanical,Gorakhpur,6.03,77.2,0,0,131,2,No,Yes,2,179378,Yes
STU1394,Student_395,22-03-2025,Male,I.T ,Prayagraj,7.35,67.6,9,2,126,3,Yes,Yes,3,553934,Yes
STU1479,Student_480,16-11-2025,Female,Electronics,Patna,7.57,80,5,4,68,1,Yes,No,2,,Yes
STU1150,Student_151,11-02-2025,Male,Mech ,,7.66,79.5,2,4,3,1,Yes,No,1,100000,Yes
STU1440,Student_441,07-11-2025,Female,ECE,Lucknow,7.74,83,0,2,3,2,Yes,Yes,1,611316,Yes
STU1370,Student_371,08-01-2025,Male,IT,Patna,7.57,84.7,2,4,7,2,Yes,Yes,1,197014,No
STU1222,Student_223,03-09-2025,Female,C.S.E,Patna,7.74,87.2,2,0,380,4,No,Yes,3,,Yes
STU1031,Student_32,16-03-2025,Female,ECE,Gorakhpur,7.58,85.4,3,2,12,2,Yes,Yes,7,666923,No
STU1339,Student_340,10-01-2025,Female,C.S.E,Varanasi,6.39,83.8,1,7,311,1,Yes,No,1,922711,Yes
STU1280,Student_281,26-06-2025,Female,Civil ,Varanasi,8.73,91.5,4,3,80,2,No,Yes,2,563974,Yes
STU1020,Student_21,22-03-2025,Female,Information Technology,Prayagraj,8.15,74,4,2,71,4,Yes,Yes,3,1123180,Yes
STU1113,Student_114,02-10-2025,Female,IT,Varanasi,7.91,71,4,0,293,2,Yes,No,4,180694,Yes
STU1354,Student_355,01-01-2025,Male,Cse ,Delhi,7.74,,4,2,195,4,No,Yes,0,403531,Yes
STU1000,Student_1,23-05-2025,Female,eee,Delhi,6.06,62.4,6,4,10,3,No,Yes,4,,No
STU1551,Student_552,07-02-2025,Female,eee,Delhi,5.95,76,8,3,156,2,No,Yes,2,682330,No
STU1321,Student_322,18-08-2025,Female,Cse ,Lucknow,4.61,61.5,9,2,23,2,No,Yes,1,464214,No
STU1548,Student_549,23-04-2025,Female,C.S.E,Gorakhpur,5.33,73.8,6,1,120,1,No,Yes,2,777540,Yes
STU1229,Student_230,17-05-2025,Male,Electronics,Patna,"6,79",,7,2,61,2,No,No,3,1182260,No
STU1591,Student_592,04-08-2025,Male,civil,Lucknow,7.63,63.7,8,5,329,2,Yes,No,0,882765,Yes
STU1528,Student_529,08-07-2025,Female,ece,Gorakhpur,6.38,64.5,6,4,57,1,No,Yes,0,270569,No
STU1002,Student_3,22-06-2025,Female,it,Gorakhpur,6.3,67.9,6,5,41,2,No,Yes,0,762946,No
STU1580,Student_581,22-03-2025,Female,eee,Kanpur,8.74,62.3,4,7,145,2,Yes,No,0,510607,No
STU1058,Student_59,15-05-2025,Female,CSE,Varanasi,7.09,64.9,4,3,95,3,No,No,0,100000,No
STU1383,Student_384,26-06-2025,Male,ECE,Gorakhpur,8.04,84.2,7,4,12,3,Yes,Yes,2,716441,No
STU1322,Student_323,07-07-2025,Male,EEE,Kanpur,5.06,69.2,2,1,43,1,No,No,3,656240,No
STU1004,Student_5,08-11-2025,Female,EEE,Delhi,7.38,73.8,6,4,71,2,No,No,0,260013,Yes
STU1392,Student_393,04-09-2025,Female,Electrical,Lucknow,7.4,72,5,0,24,2,No,Yes,4,1066069,Yes
STU1500,Student_501,19-05-2025,Female,cse,Kanpur,7.57,76,6,4,85,1,No,Yes,2,445951,No
STU1074,Student_75,23-06-2025,Male,CSE,Kanpur,7.7,75.8,5,1,209,2,Yes,Yes,0,331737,Yes
STU1191,Student_192,06-12-2025,Male, Computer Science,Lucknow,6.61,,2,3,8,3,No,Yes,2,480841,No
